"1.1 Total water consumption and area-average rainfall(a), Australia"
,"Area-average rainfall (mm)","Total water consumption (GL)"
"2014-15","415.73","14,678"
"2015-16","452.94","13,475"
"2016-17","579.76","14,186"
"2017-18","432.50","15,282"
"2018-19","346.93","12,834"
"2019-20","346.51","10,748"
"2020-21","513.27","13,415"
"2021-22","509.10","13,449"

"a. Sourced from the Bureau of Meteorology."

"Source: Australian Bureau of Statistics, Water Account, Australia 2021-22 financial year"